14:00 Uhr;;;;;
Samstag, 20.01.2024;;TV/DJK Hammelburg II;TG Würzburg;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 20.01.2024;;VfL Volkach (H);TSV Wonfurt;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 20.01.2024;;VfL Volkach (H);DJK Schweinfurt;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 20.01.2024;;TSV Wonfurt;DJK Schweinfurt;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 03.02.2024;;DJK Schweinfurt (H);TG Würzburg;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 03.02.2024;;DJK Schweinfurt (H);DJK Waldbüttelbrunn;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 03.02.2024;;TG Würzburg;DJK Waldbüttelbrunn;Infos zum main.Spiel;
14:00 Uhr;;;;;
Sonntag, 04.02.2024;;TSV Wonfurt (H);TUS Frammersbach;Infos zum main.Spiel;
11:00 Uhr;;;;;
Sonntag, 04.02.2024;;TSV Wonfurt (H);TG Würzburg;Infos zum main.Spiel;
11:00 Uhr;;;;;
Sonntag, 04.02.2024;;TUS Frammersbach;TG Würzburg;Infos zum main.Spiel;
11:00 Uhr;;;;;
Samstag, 24.02.2024;;TG Würzburg (H);VfL Volkach;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 24.02.2024;;TG Würzburg (H);TSV Großheubach;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 24.02.2024;;VfL Volkach;TSV Großheubach;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 24.02.2024;;TV Mömlingen II (H);DJK Schweinfurt;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 24.02.2024;;TV Mömlingen II (H);TUS Frammersbach;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 24.02.2024;;DJK Schweinfurt;TUS Frammersbach;Infos zum main.Spiel;
14:00 Uhr;;;;;
Sonntag, 25.02.2024;;DJK Waldbüttelbrunn (H);TSV Wonfurt;Infos zum main.Spiel;
11:00 Uhr;;;;;
Sonntag, 25.02.2024;;DJK Waldbüttelbrunn (H);TV/DJK Hammelburg II;Infos zum main.Spiel;
11:00 Uhr;;;;;
Sonntag, 25.02.2024;;TSV Wonfurt;TV/DJK Hammelburg II;Infos zum main.Spiel;
11:00 Uhr;;;;;
Samstag, 02.03.2024;;TUS Frammersbach (H);VfL Volkach;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 02.03.2024;;TUS Frammersbach (H);TSV Wonfurt;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 02.03.2024;;VfL Volkach;TSV Wonfurt;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 16.03.2024;;TSV Großheubach (H);TV/DJK Hammelburg II;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 16.03.2024;;TSV Großheubach (H);DJK Schweinfurt;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 16.03.2024;;TV/DJK Hammelburg II;DJK Schweinfurt;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 16.03.2024;;VfL Volkach (H);DJK Waldbüttelbrunn;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 16.03.2024;;VfL Volkach (H);TUS Frammersbach;Infos zum main.Spiel;
14:00 Uhr;;;;;
Samstag, 16.03.2024;;DJK Waldbüttelbrunn;TUS Frammersbach;Infos zum main.Spiel;
14:00 Uhr;;;;;
